epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,4570.24,0.79454,0.68478,1.17665,0.85185,0.8807,0.91955,0.73822,0.70128,0.64654,1.25672,0.000728719,0.000728719,0.000728719
101,4615.68,0.79627,0.68118,1.17629,0.87003,0.88776,0.94115,0.75702,0.70738,0.58299,1.26042,0.000721645,0.000721645,0.000721645
102,4661.93,0.78515,0.67136,1.16848,0.85773,0.88479,0.92086,0.74972,0.69181,0.61871,1.24533,0.000714571,0.000714571,0.000714571
103,4706.97,0.79605,0.66428,1.1733,0.87879,0.86636,0.93254,0.75341,0.70336,0.60692,1.25306,0.000707498,0.000707498,0.000707498
104,4751.97,0.78169,0.66846,1.17203,0.85468,0.8858,0.92823,0.75398,0.69061,0.60832,1.24468,0.000700424,0.000700424,0.000700424
105,4798.51,0.78706,0.67109,1.17278,0.85187,0.8811,0.9264,0.74611,0.70718,0.62128,1.25174,0.000693351,0.000693351,0.000693351
106,4844.62,0.7871,0.66318,1.16239,0.84001,0.89208,0.9275,0.74055,0.71516,0.6432,1.27183,0.000686277,0.000686277,0.000686277
107,4891.45,0.77496,0.66468,1.16164,0.86316,0.86078,0.91916,0.74273,0.71105,0.65287,1.2644,0.000679204,0.000679204,0.000679204
108,4937.54,0.77311,0.65182,1.15995,0.85127,0.83946,0.91885,0.75786,0.69648,0.7708,1.248,0.00067213,0.00067213,0.00067213
109,4983.19,0.7662,0.63777,1.15231,0.8537,0.89942,0.93914,0.78078,0.68883,0.57008,1.25691,0.000665057,0.000665057,0.000665057
110,5028.78,0.76732,0.64688,1.15504,0.87542,0.87959,0.92798,0.75496,0.69608,0.61036,1.25626,0.000657983,0.000657983,0.000657983
111,5073.88,0.7665,0.65,1.16375,0.86481,0.89746,0.92545,0.75949,0.69368,0.61309,1.26226,0.000650909,0.000650909,0.000650909
112,5119.06,0.76515,0.63848,1.15149,0.83387,0.85692,0.92658,0.75962,0.69698,0.63801,1.25458,0.000643836,0.000643836,0.000643836
113,5164.89,0.76211,0.64012,1.15776,0.88992,0.88306,0.93793,0.77711,0.67541,0.57164,1.23132,0.000636762,0.000636762,0.000636762
114,5211.32,0.76576,0.64765,1.16225,0.8538,0.8383,0.90297,0.73988,0.68116,0.75795,1.2384,0.000629689,0.000629689,0.000629689
115,5256.66,0.75992,0.63487,1.14599,0.82804,0.85076,0.90392,0.74275,0.69333,0.75049,1.24876,0.000622615,0.000622615,0.000622615
116,5302.61,0.75794,0.63153,1.15324,0.86081,0.86143,0.92787,0.75909,0.68636,0.67651,1.24169,0.000615542,0.000615542,0.000615542
117,5349.07,0.75576,0.64746,1.14971,0.81327,0.85421,0.92098,0.75148,0.69038,0.70501,1.25729,0.000608468,0.000608468,0.000608468
118,5394.85,0.74304,0.61738,1.14329,0.88234,0.8628,0.93759,0.75757,0.70209,0.66743,1.2599,0.000601395,0.000601395,0.000601395
119,5440.66,0.75389,0.62391,1.14723,0.87961,0.85059,0.93031,0.7585,0.68551,0.67855,1.24759,0.000594321,0.000594321,0.000594321
120,5486.24,0.74748,0.63703,1.14327,0.86129,0.84787,0.91974,0.74581,0.70324,0.76213,1.2597,0.000587248,0.000587248,0.000587248
121,5532.51,0.7402,0.61219,1.14024,0.85644,0.85799,0.91823,0.73931,0.69785,0.7073,1.26042,0.000580174,0.000580174,0.000580174
122,5577.86,0.73889,0.62043,1.14461,0.85125,0.85395,0.91552,0.73731,0.71069,0.72802,1.26937,0.0005731,0.0005731,0.0005731
123,5623.18,0.72568,0.59974,1.13521,0.84572,0.89728,0.92937,0.7513,0.70181,0.63652,1.25262,0.000566027,0.000566027,0.000566027
124,5668.16,0.74017,0.62645,1.14378,0.84728,0.8792,0.92007,0.75143,0.68676,0.66986,1.25161,0.000558953,0.000558953,0.000558953
125,5713.83,0.73514,0.6144,1.14608,0.85452,0.83266,0.90185,0.73797,0.68974,0.71238,1.25439,0.00055188,0.00055188,0.00055188
126,5759.03,0.73502,0.60286,1.1292,0.83781,0.87689,0.91573,0.75152,0.68188,0.68911,1.24184,0.000544806,0.000544806,0.000544806
127,5803.77,0.73885,0.60138,1.13975,0.84844,0.87264,0.91999,0.7524,0.68261,0.70463,1.23587,0.000537733,0.000537733,0.000537733
128,5849.66,0.7333,0.60503,1.13825,0.85795,0.86048,0.9182,0.74668,0.70693,0.70278,1.26016,0.000530659,0.000530659,0.000530659
